scenario,category,position,original,anonymized
model31_dohare_i,parameter,7,beta1,p7
model31_dohare_i,parameter,8,beta2,p8
model31_dohare_i,parameter,9,phi,p9
model31_dohare_i,parameter,10,gamma,p10
model31_dohare_i,parameter,11,I0,p11
model31_dohare_i,constant,1,N,c1
model31_dohare_i_j,state,1,S,x1
model31_dohare_i_j,state,2,E,x2
model31_dohare_i_j,state,3,I,x3
model31_dohare_i_j,state,4,A,x4
model31_dohare_i_j,state,5,J,x5
model31_dohare_i_j,state,6,R,x6
model31_dohare_i_j,parameter,1,alpha,p1
model31_dohare_i_j,parameter,2,sigma,p2
model31_dohare_i_j,parameter,3,h,p3
model31_dohare_i_j,parameter,4,r,p4
model31_dohare_i_j,parameter,5,q,p5
model31_dohare_i_j,parameter,6,f,p6
model31_dohare_i_j,parameter,7,beta1,p7
model31_dohare_i_j,parameter,8,beta2,p8
model31_dohare_i_j,parameter,9,phi,p9
model31_dohare_i_j,parameter,10,gamma,p10
model31_dohare_i_j,parameter,11,I0,p11
model31_dohare_i_j,constant,1,N,c1
model33_fosu_l_q,state,1,S,x1
model33_fosu_l_q,state,2,L,x2
model33_fosu_l_q,state,3,E,x3
model33_fosu_l_q,state,4,I,x4
model33_fosu_l_q,state,5,Q,x5
model33_fosu_l_q,state,6,R,x6
model33_fosu_l_q,parameter,1,gamma,p1
model33_fosu_l_q,parameter,2,beta1,p2
model33_fosu_l_q,parameter,3,eta,p3
model33_fosu_l_q,parameter,4,delta,p4
model33_fosu_l_q,parameter,5,xi,p5
model33_fosu_l_q,parameter,6,theta2,p6
model33_fosu_l_q,parameter,7,epsilon,p7
model33_fosu_l_q,parameter,8,theta1,p8
model33_fosu_l_q,parameter,9,alpha1,p9
model33_fosu_l_q,parameter,10,alpha2,p10
model33_fosu_l_q,constant,1,mu,c1
model33_fosu_l_q,constant,2,N,c2
model39_mcgee_f_di,state,1,S,x1
model39_mcgee_f_di,state,2,E,x2
model39_mcgee_f_di,state,3,I,x3
model39_mcgee_f_di,state,4,De,x4
model39_mcgee_f_di,state,5,Di,x5
model39_mcgee_f_di,state,6,R,x6
model39_mcgee_f_di,state,7,F,x7
model39_mcgee_f_di,parameter,1,q,p1
model39_mcgee_f_di,parameter,2,mu_i,p2
model39_mcgee_f_di,parameter,3,mu_d,p3
model39_mcgee_f_di,parameter,4,sigma,p4
model39_mcgee_f_di,parameter,5,sigma_d,p5
model39_mcgee_f_di,parameter,6,theta_e,p6
model39_mcgee_f_di,parameter,7,theta_i,p7
model39_mcgee_f_di,parameter,8,gamma,p8
model39_mcgee_f_di,parameter,9,gamma_d,p9
model39_mcgee_f_di,parameter,10,beta,p10
model39_mcgee_f_di,parameter,11,beta_d,p11
model39_mcgee_f_di,parameter,12,phi_i,p12
model39_mcgee_f_di,parameter,13,phi_e,p13
model39_mcgee_f_di,constant,1,N,c1
model39_mcgee_f_de_di,state,1,S,x1
model39_mcgee_f_de_di,state,2,E,x2
model39_mcgee_f_de_di,state,3,I,x3
model39_mcgee_f_de_di,state,4,De,x4
model39_mcgee_f_de_di,state,5,Di,x5
model39_mcgee_f_de_di,state,6,R,x6
model39_mcgee_f_de_di,state,7,F,x7
model39_mcgee_f_de_di,parameter,1,q,p1
model39_mcgee_f_de_di,parameter,2,mu_i,p2
model39_mcgee_f_de_di,parameter,3,mu_d,p3
model39_mcgee_f_de_di,parameter,4,sigma,p4
model39_mcgee_f_de_di,parameter,5,sigma_d,p5
model39_mcgee_f_de_di,parameter,6,theta_e,p6
model39_mcgee_f_de_di,parameter,7,theta_i,p7
model39_mcgee_f_de_di,parameter,8,gamma,p8
model39_mcgee_f_de_di,parameter,9,gamma_d,p9
model39_mcgee_f_de_di,parameter,10,beta,p10
model39_mcgee_f_de_di,parameter,11,beta_d,p11
model39_mcgee_f_de_di,parameter,12,phi_i,p12
model39_mcgee_f_de_di,parameter,13,phi_e,p13
model39_mcgee_f_de_di,constant,1,N,c1
model51_mcgee_di_f,state,1,S,x1
model51_mcgee_di_f,state,2,E,x2
model51_mcgee_di_f,state,3,I,x3
model51_mcgee_di_f,state,4,De,x4
model51_mcgee_di_f,state,5,Di,x5
model51_mcgee_di_f,state,6,R,x6
model51_mcgee_di_f,state,7,F,x7
model51_mcgee_di_f,parameter,1,q,p1
model51_mcgee_di_f,parameter,2,mu_i,p2
model51_mcgee_di_f,parameter,3,mu_d,p3
model51_mcgee_di_f,parameter,4,sigma,p4
model51_mcgee_di_f,parameter,5,sigma_d,p5
model51_mcgee_di_f,parameter,6,theta_e,p6
model51_mcgee_di_f,parameter,7,theta_i,p7
model51_mcgee_di_f,parameter,8,gamma,p8
model51_mcgee_di_f,parameter,9,gamma_d,p9
model51_mcgee_di_f,parameter,10,beta,p10
model51_mcgee_di_f,parameter,11,beta_d,p11
model51_mcgee_di_f,parameter,12,phi_i,p12
model51_mcgee_di_f,parameter,13,phi_e,p13
model51_mcgee_di_f,parameter,14,mu0,p14
model51_mcgee_di_f,constant,1,nu,c1
model51_mcgee_di_f,constant,2,N,c2
model51_mcgee_de_di_f,state,1,S,x1
model51_mcgee_de_di_f,state,2,E,x2
model51_mcgee_de_di_f,state,3,I,x3
model51_mcgee_de_di_f,state,4,De,x4
model51_mcgee_de_di_f,state,5,Di,x5
model51_mcgee_de_di_f,state,6,R,x6
model51_mcgee_de_di_f,state,7,F,x7
model51_mcgee_de_di_f,parameter,1,q,p1
model51_mcgee_de_di_f,parameter,2,mu_i,p2
model51_mcgee_de_di_f,parameter,3,mu_d,p3
model51_mcgee_de_di_f,parameter,4,sigma,p4
model51_mcgee_de_di_f,parameter,5,sigma_d,p5
model51_mcgee_de_di_f,parameter,6,theta_e,p6
model51_mcgee_de_di_f,parameter,7,theta_i,p7
model51_mcgee_de_di_f,parameter,8,gamma,p8
model51_mcgee_de_di_f,parameter,9,gamma_d,p9
model51_mcgee_de_di_f,parameter,10,beta,p10
model51_mcgee_de_di_f,parameter,11,beta_d,p11
model51_mcgee_de_di_f,parameter,12,phi_i,p12
model51_mcgee_de_di_f,parameter,13,phi_e,p13
model51_mcgee_de_di_f,parameter,14,mu0,p14
model51_mcgee_de_di_f,constant,1,nu,c1
model51_mcgee_de_di_f,constant,2,N,c2
